name,hostname,borough,neighbourhood,roomtype,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
Clean & quiet apt home by the park,John,Brooklyn,Kensington,Private room,149,1,9,6,365
Skylit Midtown Castle,Jennifer,Manhattan,Midtown,Entire home/apt,225,1,45,2,355
THE VILLAGE OF HARLEM....NEW YORK !,Elisabeth,Manhattan,Harlem,Private room,150,3,0,1,365
Cozy Entire Floor of Brownstone,LisaRoxanne,Brooklyn,Clinton Hill,Entire home/apt,89,1,270,1,194
Entire Apt: Spacious Studio/Loft by central park,Laura,Manhattan,East Harlem,Entire home/apt,80,10,9,1,0
Large Cozy 1 BR Apartment In Midtown East,Chris,Manhattan,Murray Hill,Entire home/apt,200,3,74,1,129
BlissArtsSpace!,Garon,Brooklyn,Bedford-Stuyvesant,Private room,60,45,49,1,0
Large Furnished Room Near B'way ,Shunichi,Manhattan,Hell's Kitchen,Private room,79,2,430,1,220
Cozy Clean Guest Room - Family Apt,MaryEllen,Manhattan,Upper West Side,Private room,79,2,118,1,0
Cute & Cozy Lower East Side 1 bdrm,Ben,Manhattan,Chinatown,Entire home/apt,150,1,160,4,188
Beautiful 1br on Upper West Side,Lena,Manhattan,Upper West Side,Entire home/apt,135,5,53,1,6
Central Manhattan/near Broadway,Kate,Manhattan,Hell's Kitchen,Private room,85,2,188,1,39
"Lovely Room 1, Garden, Best Area, Legal rental",Laurie,Brooklyn,South Slope,Private room,89,4,167,3,314
Wonderful Guest Bedroom in Manhattan for SINGLES,Claudio,Manhattan,Upper West Side,Private room,85,2,113,1,333
West Village Nest - Superhost,Alina,Manhattan,West Village,Entire home/apt,120,90,27,1,0
Only 2 stops to Manhattan studio,Allen & Irina,Brooklyn,Williamsburg,Entire home/apt,140,2,148,1,46
Perfect for Your Parents + Garden,Jane,Brooklyn,Fort Greene,Entire home/apt,215,2,198,1,321
Chelsea Perfect,Doti,Manhattan,Chelsea,Private room,140,1,260,1,12
Hip Historic Brownstone Apartment with Backyard,Adam And Charity,Brooklyn,Crown Heights,Entire home/apt,99,3,53,1,21
